,Libelle1,voie,CP,Ville,surface,lat,long
273,Bibliotheque municipale,Place du Marche,67340,Ingwiller,90.0,48.871585,7.480506
276,Bibliotheque Municipale,2 RUE DE LA CHAPELLE,67390,MACKENHEIM,120.0,48.184518,7.562742
279,Bibliotheque Municipale,3 PLACE DE LA MAIRIE,67520,Nordheim,228.0,48.636554,7.509823
280,Point lecture,1 rue du Chateau,67150,Nordhouse,45.0,48.448409,7.670045
281,Mediatheque,5 rue du General De Gaulle,67205,Oberhausbergen,600.0,48.606758,7.685001
282,Point Lecture,Place Bersac,67970,oermingen,60.0,48.998422,7.128489
283,Bibliotheque Municipale,5 Rue Principale,67290,Petersbach,124.0,48.869602,7.268052
284,Point Lecture,63 RUE PRINCIPALE,67290,La Petite-Pierre,80.0,48.862526,7.319239
287,Point lecture,31 RUE PRINCIPALE,67250,Retschwiller,25.0,48.94977,7.881732
289,point-lecture,14 rue de la Gare,67130,Russ,118.0,48.49639,7.25525
290,Point Lecture,51 rue Principale,67350,SCHALKENDORF,10.0,48.832742,7.56249
291,Point Lecture,11 rue du tilleul,67250,SCHoeNENBOURG,20.0,48.950174,7.912103
296,Bibliotheque Municipale,9 RUE STAEDTEL,67310,Westhoffen,110.0,48.604141,7.444095
297,Bibliotheque municipale,9 rue d'Issenheim,68500,Bergholtz,65.0,47.917775,7.247599
"298,Mediatheque,""10, Rue de la Gare"",68210,Dannemarie,370.0,47.627929,7.124605"
299,Bibliotheque  Espace 110,1 Avenue des Rives de l'Ill,68110,Illzach,220.0,47.778212,7.354488
300,Bibliotheque municipale,9 rue Raymond Poincare,68380,Mittlach,60.0,48.003109,7.032098
301,Bibliotheque municipale,32 Grand-rue,68780,Soppe-le-Haut (Le Haut Soultzbach),60.0,47.733244,7.058325
302,Bibliotheque municipale,22 rue Princi,68680,Niffer,160.0,47.712246,7.50891
303,Bibliotheque municipale,27 rue Charles de Gaulle,68370,Orbey,300.0,48.126358,7.162091
304,Mediatheque Municipale,15 rue de Kingersheim,68120,Pfastatt,580.0,47.771289,7.305409
307,Bibliotheque Municipale,13 rue de la Paix,68400,Riedisheim,427.0,47.747217,7.366535
308,Bibliotheque municipale,3b rue de l'Eglise,68740,Rustenhart,52.0,47.941657,7.459793
309,Bibliotheque municipale,14 Rue de l'Eglise,68720,Spechbach,40.0,47.679994,7.215801
310,Bibliotheque Municipale,5 rue de la 5eme DB,68920,Wettolsheim,100.0,48.058081,7.299266
312,Mediatheque Municipale,60 PLACE DE L'ANCIENNE EGLISE,69620,VAL D'OINGT,254.0,45.920929,4.585953
314,Bibliotheque Municipale,74 AVENUE DU 11 NOVEMBRE,69270,Cailloux-sur-Fontaines,169.0,45.85212,4.872838
315,Bibliotheque Municipale,1 PLACE DU CHATEAU,69380,CHARNAY,40.0,45.891087,4.668413
316,Bibliotheque,43 RUE DE LA CHAMBRE DU ROY,69380,Chasselay,80.0,45.873089,4.771151
318,Bibliotheque Municipale De Cogny,440 RUE DU MONT SAINT GUIBERT,69640,Cogny,70.0,45.988916,4.62534
319,L'@ncre - Mediatheque municipale,2 Impasse du pressoir,69420,Condrieu,586.0,45.46333,4.769204
321,Bibliotheque Municipale,Place de l'eglise,69820,Fleurie,120.0,46.192572,4.697399
322,Mediatheque De Lentilly,10 rue Chatelard Dru,69210,Lentilly,449.0,45.819479,4.66349
325,Bibliotheque Municipale,195 Route de Chazay,69380,Lozanne,120.0,45.856842,4.681179
326,Bibliotheque Du 5e St Jean,4 avenue Adolphe Max,69005,Lyon,632.0,45.760036,4.827325
327,Bibliotheque Du 9e St Rambert,3 place Schonberg,69009,Lyon,487.0,45.799873,4.826114
328,Mediatheque,4 route de la Chatelaise,69510,Messimy,125.0,45.698765,4.671433
329,Bibliotheque Municipale De Meys,10 00 0,69610,Meys,110.0,45.682042,4.408587
330,Bibliotheque Municipale,4 RUE PATRIN,69440,Mornant,445.0,45.618257,4.670358
331,La Memo,8 rue de la republique,69600,OULLINS,2000.0,45.717,4.811742
332,Mediatheque  municipale,Place de la Mairie,69210,Sain-Bel,180.0,45.810328,4.599398
334,Latulu,169 Rue du Pilat,69700,Chassagny,107.0,45.606899,4.727189
335,Bibliotheque St Andeol Le Chateau,4 rue des ecoles,69700,Saint-Andeol-le-Chateau,90.0,45.584609,4.694688
336,Bibliotheque De Saint-Andre-La-Cote,11 Rue de la mairie,69440,Saint-Andre-la-Cote,30.0,45.630102,4.599734
337,Bibliotheque Municipale De Sainte Foy L' Argentiere,83 Rue Grande,69610,Sainte-Foy-l'Argentiere,100.0,45.709724,4.468035
340,Bibliotheque,28 ROUTE DE MORNANT,69440,Saint-Laurent-d'Agny,150.0,45.639941,4.685297
341,Bibliotheque municipale de Saint-Sorlin,3 Place Saint-Saturnin,69440,Chabaniere,50.0,45.620574,4.639067
342,Mediatheque Municipale,5 PLACE DE LA MAIRIE,69510,Thurins,345.0,45.682999,4.640727
344,BIBLIOTHEQUE LA PYRAMIDE,59 BIS AVENUE DES MARTYRS DE LA RESISTANCE,69200,VENISSIEUX,98.0,45.691458,4.87209
345,Bibliotheque,27 chemin des placettes,69770,Villecheneve,70.0,45.811742,4.404888
348,Bibliotheque Municipale,9 BIS PLACE DE L'EGLISE,69510,Yzeron,95.0,45.708422,4.591134
349,Mediatheque Municipale,PLACE DU GENERAL DE GAULLE,69330,Jonage,594.0,45.796224,5.047238
350,Bibliotheque Municipale,PLACE DE LA MAIRIE,69330,Pusignan,210.0,45.75582,5.067062
351,Mediatheque Intercommunale Muroise,8 rue Andre Malraux,69720,Saint-Laurent-de-Mure,377.0,45.688625,5.036
353,Mediatheque Municipale,PLACE DE LA MAIRIE,69780,TOUSSIEU,120.0,45.654402,4.985749
354,Bibliotheque d'Aboncourt Gesincourt,27 grande rue,70500,Aboncourt-Gesincourt,40.0,47.771394,5.975591
355,BIBLIOTHEQUE,1 Rue Georges Chevrolet,70320,AILLEVILLERS ET LYAUMONT,75.0,47.918955,6.336671
356,Bibliotheque de Baudoncourt,rue 6 place chanoine morey,70300,Baudoncourt,25.0,47.778673,6.344952
357,Bibliotheque de Beaumotte les Pin,Rue de l'Eglise,70150,Beaumotte-les-Pin,15.0,47.316909,5.829957
358,Bibliotheque de Bonnevent-Velloreille,23 rue principale,70700,Bonnevent-Velloreille,16.0,47.391827,5.933039
359,Bibliotheque de Champlitte,Allee du Sainfoin,70600,Champlitte,38.0,47.616998,5.511532
360,Mediatheque municipale d'Esprels,7 bis Rue de l' Eglise,70110,Esprels,42.0,47.536301,6.374121
362,Ludobibliotheque Municipale,2 RUE CARNOT,70150,Marnay,60.0,47.289677,5.771145
363,Bibliotheque de Mersuay,2 Rue de la Prairie,70160,Mersuay,36.0,47.778299,6.133959
364,Bibliotheque de Montbozon,3 rue des Chenevieres,70230,Montbozon,20.0,47.466714,6.25803
366,Mediatheque de Port-sur-Saone,17 rue Gilberte Lavaire,70170,Port-sur-Saone,35.0,47.689045,6.04266
367,Mediatheque,2 rue de l'eglise,70200,quers,80.0,47.734913,6.423957
369,MEDIATHEQUE,Route de Montbozon,70190,RIOZ,200.0,47.434463,6.062761
371,Mediatheque Lupeenne,14 Bis rue de la Viotte,70800,Saint-Loup-sur-semouse,80.0,47.885138,6.278772
373,Bibliotheque de Sauvigney les Pesmes,1 rue de la Resie-Saint-Martin,70140,Sauvigney-les-Pesmes,36.0,47.301359,5.570373
374,Bibliotheque de Venisey,17 grande rue,70500,Venisey,20.0,47.831657,5.993748
375,Bibliotheque Municipale,4 RUE LA FAYETTE,70000,Vesoul,1750.0,47.621873,6.153239
376,LIVRE OUVERT,rue du Breuil,70110,VILLERSEXEL,70.0,47.548696,6.428501
381,Mediatheque Municipale,7 rue Marcel Gueugneau,71450,Blanzy,622.0,46.698493,4.391845
383,Bibliotheque Municipale,18 Rue de la Boutiere,71150,Chagny,400.0,46.909704,4.750368
386,Relais Charette,5 rue de la Chapelle,71270,Charette Varennes,12.0,46.914436,5.198968
387,QUAI DES MOTS,4 RUE ELIE MAURETTE,71170,CHAUFFAILLES,1186.0,46.207208,4.339674
388,Bibliotheque Municipale,PLACE DU MARCHE,71250,Cluny,395.0,46.43482,4.657216
389,Bibliotheque Municipale,Place de l'Ecole,71460,Cormatin,35.0,46.548094,4.684575
390,Mediatheque Municipale,1 RUE EDITH CAVELL,71200,LE CREUSOT,1800.0,46.801109,4.420456
391,Bibliotheque Municipale,107 Rue des Durandis,71960,Davaye,62.0,46.304061,4.749076
392,Bibliotheque Municipale,Rue du 19 mars 1962,71210,ecuisses,60.0,46.761389,4.513869
394,Bibliotheque Municipale,1 Impasse du Bourg,71510,Essertenne,115.0,46.812694,4.545033
395,Bibliotheque Municipale,1 Place Paul Chateau,71590,GERGY,143.0,46.877306,4.945591
396,Bibliotheque Municipale,Place de l'Eglise,71640,Givry,241.0,46.78219,4.745467
397,Bibliotheque Municipale,2980 Route de Macon,71870,Hurigny,110.0,46.347848,4.792052
402,L'epicerie des mots,2 rue de la Riepe,71390,Messey-sur-Grosne,120.0,46.644544,4.743261
405,Bibliotheque Municipale,Route de Saint Germain du Bois,71380,Oslon,131.0,46.783301,4.917432
406,Bibliotheque Municipale,2 Rue du Martoret,71260,Peronne,100.0,46.438967,4.80906
"407,BIBLIOTHeQUE MUNICIPALE,""5, PLACE DE L'HOTEL DE VILLE"",71420,PERRECY-LES-FORGES,156.0,46.614473,4.215432"
408,Bibliotheque Intercommunale,5 B RUE DU CHATEAU,71270,Pierre De Bresse,281.0,46.883046,5.262051
409,Bibliotheque Municipale,2 Chemin de la Verchere,71230,Pouilloux,100.0,46.607507,4.359813
410,Bibliotheque Municipale,689 Hameau de l'Eau Vive,71960,La Roche-Vineuse,100.0,46.347865,4.713742
411,Bibliotheque Municipale,46 Rue des Marronniers,71570,Romaneche-Thorins,72.0,46.190769,4.735978
412,Bibliotheque de Sagy,route des Gallands,71580,Sagy,190.0,46.600812,5.309666
413,Mediatheque Municipale,42 AVENUE DE BOURGOGNE,71390,SAINT DESERT,116.0,46.754185,4.709373
414,Bibliotheque Municipale,28 Route de Chalon,71210,Saint-Eusebe,30.0,46.725841,4.481344
