,Caracteristique_du_site,Adresse,Code_postal,Localite,Latitude,Longitude,Numero_de_telephone
78,Agence postale communale,BOULEVARD COTE D ARGENT,33120,ARCACHON,"44,643096","-1,20058",3631
79,Agence postale communale,4 ALLEE ROGER TOUTON,33120,ARCACHON,"44,647695","-1,18464",3631
80,Bureau de Poste,19 AV DU MAL DE LATTRE DE TASSIGNY,33470,GUJAN MESTRAS,"44,638198","-1,112148",3631
81,Agence postale communale,7 RUE DU 8 MAI 1945,33340,SAINT GERMAIN D ESTEUIL,"45,28848516","-0,866202304",3631
82,Bureau de Poste,1 AVENUE DU 8 MAI 1945,34300,AGDE,"43,3154","3,471992",3631
83,Agence postale communale,AVENUE D OLONZAC,34210,AZILLANET,"43,32300532","2,738201547",3631
84,Agence postale communale,3 PLACE JACQUES VILLENEUVE,34290,BASSAN,"43,41082956","3,254824465",3631
85,Bureau de Poste,PLACE DE LA FONTAINE,34550,BESSAN,"43,361035","3,425881",3631
86,Bureau de Poste,33 RUE DE LA CAVALERIE,34000,MONTPELLIER,"43,617199","3,881265",3631
87,Bureau de Poste,4 ALLEE ROGER SALENGRO,34800,CLERMONT L HERAULT,"43,62676","3,434338",3631
88,Agence postale communale,AVENUE D OCCITANIE,34220,COURNIOU,"43,47329471","2,712477025",3631
89,Agence postale communale,RUE DE LA REPUBLIQUE,34370,CREISSAN,"43,3746785","3,009396276",3631
90,Bureau de Poste,RUE DE LA MAIRIE,34690,FABREGUES,"43,550077","3,779518",3631
91,Agence postale communale,13 RUE OCCITANIE,34210,FELINES MINERVOIS,"43,329899","2,600445",3631
92,Bureau de Poste,RUE FREDERIC MISTRAL,34110,FRONTIGNAN,"43,448397","3,751654",3631
93,Agence postale communale,2 RUE DES VIOLETTES,34320,GABIAN,"43,51214152","3,272928349",3631
94,Bureau de Poste,PLACE DE LA POSTE,34770,GIGEAN,"43,501195","3,710519",3631
95,Bureau de Poste,6 AVENUE DE VENDARGUES,34830,JACOU,"43,659196","3,91269",3631
96,Bureau de Poste,17 PLACE SAINT JEAN,34130,LANSARGUES,"43,651399","4,072219",3631
97,Bureau de Poste,607 AVENUE DE MONTPELLIER,34970,LATTES,"43,568695","3,904125",3631
98,Bureau de Poste,GRAND RUE,34480,LAURENS,"43,523896","3,196909",3631
99,Bureau de Poste,14 RUE DE LA CROIX,34880,LAVERUNE,"43,584416","3,80648",3631
100,Bureau de Poste,GRAND ROUTE,34650,LUNAS,"43,708053","3,19463",3631
